   1.20000000 -184.33301350 
   1.25714286 -184.42582804 
   1.31428571 -184.46054794 
   1.37142857 -184.46663972 
   1.42857143 -184.46492174 
   1.48571429 -184.46047033 
   1.54285714 -184.45410154 
   1.60000000 -184.44642203 
   1.65714286 -184.43796782 
   1.71428571 -184.42895832 
   1.77142857 -184.41972781 
   1.82857143 -184.41052657 
   1.88571429 -184.40151452 
   1.94285714 -184.39282473 
   2.00000000 -184.38445914 
   2.05714286 -184.37652228 
   2.11428571 -184.36910596 
   2.17142857 -184.36222941 
   2.22857143 -184.35593883 
   2.28571429 -184.35127955 
   2.34285714 -184.34649189 
   2.40000000 -184.34244817 
   2.45714286 -184.34091027 
   2.51428571 -184.33847791 
   2.57142857 -184.33637019 
   2.62857143 -184.33452613 
   2.68571429 -184.33291612 
   2.74285714 -184.33159191 
   2.80000000 -184.33056084 
   2.85714286 -184.32963758 
   2.91428571 -184.32887816 
   2.97142857 -184.32825872 
   3.02857143 -184.32781383 
   3.08571429 -184.32743204 
   3.14285714 -184.32714137 
   3.20000000 -184.32694819 
   3.25714286 -184.32680472 
   3.31428571 -184.32831406 
   3.37142857 -184.32827065 
   3.42857143 -184.32825188 
   3.48571429 -184.32823781 
   3.54285714 -184.32822254 
   3.60000000 -184.32821668 
   3.65714286 -184.32820187 
   3.71428571 -184.47763006 
   3.77142857 -184.48208602 
   3.82857143 -184.48210953 
   3.88571429 -184.48215345 
   3.94285714 -184.48216417 
   4.00000000 -184.48215503 
